encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
mae_vitl,ablate_localctx_k12,4.038502907380462,0.26722848987358977,0.1736278485316053,0.36127205520067546,localctx_k,,,,12.0,,
uni,multiscale_proxy_mlp,8.133690740913153,0.2601603914639119,0.17107572360105705,0.34862252233406865,,,,,,,
ctranspath,ablate_patchfeat_cell_only,2.8489170614629984,0.6550224276199538,0.3105931640204481,0.3433444213131763,feature_mode,cell_only,,,,,
ctranspath,mlp_head,2.0663376431912184,0.6533913279869512,0.30546345195384356,0.3403280444029941,,,,,,,
ctranspath,residual_boosting,0.6085307691246271,0.646731004485524,0.3033736321259795,0.3373678612648614,,,,,,,
mae_vitl,local_context_mlp,4.9476145431399345,0.21245072719858638,0.11834454017873423,0.33454057679409793,,,,,,,
ctranspath,graph_label_propagation,2.607932962477207,0.6758189479407367,0.2688512179955119,0.3333333333333333,,,,,,,
ctranspath,local_context_mlp,2.1510149594396353,0.6758189479407367,0.2688512179955119,0.3333333333333333,,,,,,,
ctranspath,multiscale_proxy_mlp,4.4131080117076635,0.6758189479407367,0.2688512179955119,0.3333333333333333,,,,,,,
ctranspath,ablate_localctx_k4,2.3151865266263485,0.6758189479407367,0.2688512179955119,0.3333333333333333,localctx_k,,,,4.0,,
ctranspath,ablate_graph_k8,2.660151971504092,0.6758189479407367,0.2688512179955119,0.3333333333333333,graph_k,,,,8.0,,
ctranspath,ablate_localctx_k8,2.308224754408002,0.6758189479407367,0.2688512179955119,0.3333333333333333,localctx_k,,,,8.0,,
ctranspath,ablate_graph_k12,2.6698735523968935,0.6758189479407367,0.2688512179955119,0.3333333333333333,graph_k,,,,12.0,,
